MÃ,TÊN CÔNG TY,NGÀNH,NĂM,ROA,ROE,LỢI NHUẬN BIÊN,NỢ / VỐN CHỦ SỞ HỮU,NỢ / TỔNG TÀI SẢN,EBIT/TỔNG TÀI SẢN,CURRENT RATIO,CASH RATIO,EQUITY / TỔNG TÀI SẢN,TỶ LỆ VỐN CHỦ SỞ HỮU,VÒNG QUAY TỔNG TÀI SẢN,VÒNG QUAY PHẢI THU,KHẢ NĂNG THANH TOÁN LÃI VAY,DÒNG TIỀN / DOANH THU,TĂNG TRƯỞNG LNST,TĂNG TRƯỞNG DOANH THU,TĂNG TRƯỞNG TÀI SẢN,cluster_kmeans,Credit_Rating,financial_health
KOS,Công ty KOSY,Bất động sản,2024,0.00543434,0.011287743,0.117787056,1.077113788,0.518562726,0.028085733,2.34603583,0.02957954,0.481437274,0.481437274,0.297153662,2.048564302,1.355096062,0.005261241,0.244926296,0.093562701,0.018805245,4,BBB,Trung bình
KPF,Đầu tư Tài sản KOJI,Xây dựng và Vật liệu,2021,0.070913933,0.100514488,0.562291079,0.417415217,0.29449043,0.069881099,4.0756483,0.20523295,0.70550957,0.70550957,0.050286085,0.056018379,502.9789712,15.23481435,1.92410757,0.346538971,-0.194528999,3,AAA,Tốt
KSB,Khoáng sản Bình Dương,Tài nguyên Cơ bản,2021,0.063443414,0.141405529,0.466165698,1.228844897,0.551337107,0.098605704,1.705879913,0.076501673,0.448662893,0.448662893,0.221908548,0.4594487,4.154427946,0.050023064,-0.228669289,-0.331339832,0.015288254,4,BBB,Trung bình
KSB,Khoáng sản Bình Dương,Tài nguyên Cơ bản,2022,0.035845298,0.078358742,0.368983796,1.186025684,0.542548833,0.074346085,1.5342801,0.091142515,0.457451167,0.457451167,0.202487041,0.460098768,2.33465617,0.151144451,-0.398434552,-0.02846056,0.06472447,4,BBB,Trung bình
KSB,Khoáng sản Bình Dương,Tài nguyên Cơ bản,2023,0.017248513,0.036924632,0.452298837,1.140742955,0.532872455,0.062000862,1.565508033,0.081826038,0.467127545,0.467127545,0.123607372,0.287395903,1.651107588,0.054839116,-0.514965671,-0.384681242,0.007982555,4,BBB,Trung bình
KSB,Khoáng sản Bình Dương,Tài nguyên Cơ bản,2024,0.010706337,0.019902123,0.442779034,0.858910548,0.4620505,0.053416587,1.885105163,0.014816766,0.5379495,0.5379495,0.081441034,0.20626789,1.858927702,0.176734985,-0.284869098,-0.240906649,0.152116185,4,BBB,Trung bình
KSD,Đầu tư DNA,Hàng cá nhân & Gia dụng,2022,0.001171281,0.001207945,0.071485275,0.091221249,0.088452472,0.003742559,4.0756483,0.824306677,0.969647666,0.969647666,0.777048483,2.416521079,1.962764004,0.107521611,-0.991906213,0.495863021,0.001495265,2,AA,Khá
KSD,Đầu tư DNA,Hàng cá nhân & Gia dụng,2023,0.001169629,0.001276476,0.037072871,0.091351188,0.083704667,-0.014806567,4.0756483,0.824306677,0.916295333,0.916295333,0.396718935,1.204705331,-4.344689539,0.174534805,-0.00531474,-0.491450331,-0.003910037,2,AA,Khá
KSD,Đầu tư DNA,Hàng cá nhân & Gia dụng,2024,-0.008254364,-0.00841188,0.117943295,0.01908276,0.018725427,0.006868859,4.0756483,0.824306677,0.981274573,0.981274573,0.379606059,1.141487328,6.358425622,0.119296569,-7.534953998,-0.113952138,-0.074008552,2,AA,Khá
KSF,Tập đoàn Real Tech,Bất động sản,2021,0.040423122,0.066527162,0.369082278,0.645770012,0.392381686,0.081343923,2.241015932,0.122919881,0.607618314,0.607618314,0.120783191,0.248072425,3.41608444,2.540794374,0.578590163,-0.143198725,-0.081075259,4,BBB,Trung bình
